"","utc","Location","PM25","O3","Cases"
"92",2020-04-11,"Greenville",4.56521739130435,0.0367826086956522,308
"93",2020-04-12,"Greenville",5.56521739130435,0.0418636363636364,339
"94",2020-04-13,"Greenville",7.27272727272727,0.043,346
"95",2020-04-14,"Greenville",4.125,0.0335652173913043,373
"96",2020-04-15,"Greenville",4.25,0.034375,400
"97",2020-04-17,"Greenville",8.2,0.0327894736842105,447
"98",2020-04-18,"Greenville",3.58333333333333,0.0436521739130435,486
"99",2020-04-19,"Greenville",4.375,0.0376086956521739,492
"100",2020-04-20,"Greenville",4.38095238095238,0.0325238095238095,498
"101",2020-04-21,"Greenville",5.78260869565217,0.0356363636363636,517
"102",2020-04-22,"Greenville",3.22727272727273,0.0465909090909091,536
"103",2020-04-23,"Greenville",4.91304347826087,0.0419473684210526,557
"104",2020-04-24,"Greenville",5.27272727272727,0.041,557
"105",2020-04-25,"Greenville",3.83333333333333,0.036,564
"106",2020-04-26,"Greenville",5,0.0331176470588235,564
"107",2020-04-27,"Greenville",1.52631578947368,0.0375555555555556,649
"108",2020-04-28,"Greenville",4,0.0329545454545455,661
"109",2020-04-29,"Greenville",4.21428571428571,0.0486153846153846,689
"110",2020-04-30,"Greenville",4.59090909090909,0.0455714285714286,722
"111",2020-05-01,"Greenville",2.58333333333333,0.027,730
"112",2020-05-02,"Greenville",2.29166666666667,0.0342608695652174,749
"113",2020-05-03,"Greenville",7.57142857142857,0.0420769230769231,757
"114",2020-05-04,"Greenville",6.52941176470588,0.04995,788
"115",2020-05-05,"Greenville",3.86363636363636,0.0317142857142857,796
"116",2020-05-06,"Greenville",3.66666666666667,0.03375,803
"117",2020-05-07,"Greenville",2.18181818181818,0.0444545454545455,835
"118",2020-05-08,"Greenville",5.29166666666667,0.0432173913043478,869
"119",2020-05-09,"Greenville",3.33333333333333,0.0422608695652174,912
"120",2020-05-10,"Greenville",4.39130434782609,0.0335652173913044,933
"121",2020-05-11,"Greenville",2.05,0.0444347826086956,946
"122",2020-05-12,"Greenville",-1.33333333333333,0.035,971
"123",2020-05-13,"Greenville",1.66666666666667,0.0483333333333333,981
"124",2020-05-14,"Greenville",0.333333333333333,0.0365,996
"125",2020-05-15,"Greenville",4.94117647058824,0.0413125,1021
"126",2020-05-16,"Greenville",6.04166666666667,0.038695652173913,1058
"127",2020-05-17,"Greenville",5.73913043478261,0.0287272727272727,1095
"128",2020-05-18,"Greenville",2.95833333333333,0.025304347826087,1116
"129",2020-05-19,"Greenville",3.31818181818182,0.0325714285714286,1145
"130",2020-05-20,"Greenville",2.30434782608696,0.0328636363636364,1155
"131",2020-05-21,"Greenville",3.04166666666667,0.0324761904761905,1180
"132",2020-05-22,"Greenville",4.375,0.0374782608695652,1200
"133",2020-05-23,"Greenville",5.66666666666667,0.0356521739130435,1231
"134",2020-05-24,"Greenville",8.70833333333333,0.0287391304347826,1286
"135",2020-05-25,"Greenville",3.41666666666667,0.0279565217391304,1300
"136",2020-05-26,"Greenville",3.27272727272727,0.0255714285714286,1344
"137",2020-05-27,"Greenville",5.5,0.0210434782608696,1364
"138",2020-05-28,"Greenville",4.45454545454545,0.0212727272727273,1382
"139",2020-05-29,"Greenville",4.625,0.019304347826087,1461
"140",2020-05-30,"Greenville",2,0.0245,1619
"141",2020-05-31,"Greenville",4.58823529411765,0.0342352941176471,1619
"142",2020-06-01,"Greenville",4.375,0.0323913043478261,1690
"143",2020-06-02,"Greenville",6.16666666666667,0.0427222222222222,1751
"144",2020-06-03,"Greenville",9.52380952380952,0.04455,1799
"145",2020-06-04,"Greenville",13.5,0.0427058823529412,1854
"146",2020-06-05,"Greenville",8.60869565217391,0.0295217391304348,1934
"147",2020-06-06,"Greenville",9.21428571428571,0.0317142857142857,2012
"148",2020-06-07,"Greenville",10.7142857142857,0.0538571428571429,2060
"149",2020-06-08,"Greenville",8.52173913043478,0.0426818181818182,2175
"150",2020-06-09,"Greenville",7.91666666666667,0.0362173913043478,2222
"151",2020-06-10,"Greenville",6.41666666666667,0.0338260869565217,2371
"152",2020-06-11,"Greenville",5.85714285714286,0.0302631578947368,2492
"153",2020-06-12,"Greenville",5.52380952380952,0.02595,2624
"154",2020-06-13,"Greenville",7.31818181818182,0.0342380952380952,2779
"155",2020-06-14,"Greenville",4.95454545454545,0.0407619047619048,2920
"156",2020-06-15,"Greenville",3.27777777777778,0.0300555555555556,3011
"157",2020-06-16,"Greenville",2.07142857142857,0.0232142857142857,3072
"158",2020-06-17,"Greenville",2,0.0241052631578947,3143
"159",2020-06-18,"Greenville",4.54166666666667,0.0243913043478261,3306
"160",2020-06-19,"Greenville",5.4,0.0285,3413
"161",2020-06-20,"Greenville",4,0.0294444444444444,3536
"162",2020-06-21,"Greenville",5.65217391304348,0.0248181818181818,3670
